Date,M1Supply
2006-10-30,1415.7
2006-11-06,1334.7
2006-11-13,1316.9
2006-11-20,1368.9
2006-11-27,1429.0
2006-12-04,1390.3
2006-12-11,1323.2
2006-12-18,1361.1
2006-12-25,1443.2
2007-01-01,1446.7
2007-01-08,1341.5
2007-01-15,1352.3
2007-01-22,1359.7
2007-01-29,1400.1
2007-02-05,1358.0
2007-02-12,1314.7
2007-02-19,1348.2
2007-02-26,1376.2
2007-03-05,1356.2
2007-03-12,1331.9
2007-03-19,1364.6
2007-03-26,1414.7
2007-04-02,1437.9
2007-04-09,1368.5
2007-04-16,1367.4
2007-04-23,1401.8
2007-04-30,1426.9
2007-05-07,1352.2
2007-05-14,1352.1
2007-05-21,1386.3
2007-05-28,1427.4
2007-06-04,1397.8
2007-06-11,1335.8
2007-06-18,1347.8
2007-06-25,1387.3
2007-07-02,1424.2
2007-07-09,1339.6
2007-07-16,1340.9
2007-07-23,1371.6
2007-07-30,1407.9
2007-08-06,1347.1
2007-08-13,1327.3
2007-08-20,1368.3
2007-08-27,1414.9
2007-09-03,1437.4
2007-09-10,1322.5
2007-09-17,1328.3
2007-09-24,1356.2
2007-10-01,1384.3
2007-10-08,1334.1
2007-10-15,1335.4
2007-10-22,1371.5
2007-10-29,1418.8
2007-11-05,1374.7
2007-11-12,1328.4
2007-11-19,1355.7
2007-11-26,1411.9
2007-12-03,1415.6
2007-12-10,1338.8
2007-12-17,1355.6
2007-12-24,1424.3
2007-12-31,1457.6
2008-01-07,1368.3
2008-01-14,1337.2
2008-01-21,1376.2
2008-01-28,1400.3
2008-02-04,1388.5
2008-02-11,1326.7
2008-02-18,1357.0
2008-02-25,1385.1
2008-03-03,1415.1
2008-03-10,1356.0
2008-03-17,1372.1
2008-03-24,1418.7
2008-03-31,1455.6
2008-04-07,1375.4
2008-04-14,1368.5
2008-04-21,1421.5
2008-04-28,1443.6
2008-05-05,1404.5
2008-05-12,1357.9
2008-05-19,1381.8
2008-05-26,1424.0
2008-06-02,1440.2
2008-06-09,1378.3
2008-06-16,1382.9
2008-06-23,1408.4
2008-06-30,1456.6
2008-07-07,1399.7
2008-07-14,1377.5
2008-07-21,1413.5
2008-07-28,1452.6
2008-08-04,1437.1
2008-08-11,1368.0
2008-08-18,1378.7
2008-08-25,1416.1
2008-09-01,1446.9
2008-09-08,1374.3
2008-09-15,1375.8
2008-09-22,1466.2
2008-09-29,1536.2
2008-10-06,1439.2
2008-10-13,1409.9
2008-10-20,1437.4
2008-10-27,1514.2
2008-11-03,1557.0
2008-11-10,1460.2
2008-11-17,1473.9
2008-11-24,1533.6
2008-12-01,1580.4
2008-12-08,1550.4
2008-12-15,1587.1
2008-12-22,1649.6
2008-12-29,1719.4
2009-01-05,1683.4
2009-01-12,1564.8
2009-01-19,1541.1
2009-01-26,1565.7
2009-02-02,1593.8
2009-02-09,1522.6
2009-02-16,1532.4
2009-02-23,1558.4
2009-03-02,1597.3
2009-03-09,1551.5
2009-03-16,1564.8
2009-03-23,1606.3
2009-03-30,1652.5
2009-04-06,1673.0
2009-04-13,1576.7
2009-04-20,1602.3
2009-04-27,1641.1
2009-05-04,1634.3
2009-05-11,1569.9
2009-05-18,1600.7
2009-05-25,1648.9
2009-06-01,1663.6
2009-06-08,1615.5
2009-06-15,1625.9
2009-06-22,1678.0
2009-06-29,1725.4
2009-07-06,1655.9
2009-07-13,1609.8
2009-07-20,1641.8
2009-07-27,1689.3
2009-08-03,1713.3
2009-08-10,1611.2
2009-08-17,1636.1
2009-08-24,1649.8
2009-08-31,1690.7
2009-09-07,1616.7
2009-09-14,1599.9
2009-09-21,1632.8
2009-09-28,1694.8
2009-10-05,1654.1
2009-10-12,1604.6
2009-10-19,1646.9
2009-10-26,1703.9
2009-11-02,1735.4
2009-11-09,1641.4
2009-11-16,1639.2
2009-11-23,1691.0
2009-11-30,1755.8
2009-12-07,1659.6
2009-12-14,1660.6
2009-12-21,1728.9
2009-12-28,1806.8
2010-01-04,1789.5
2010-01-11,1620.6
2010-01-18,1641.3
2010-01-25,1673.4
2010-02-01,1707.3
2010-02-08,1641.6
2010-02-15,1675.2
2010-02-22,1698.2
2010-03-01,1728.3
2010-03-08,1671.8
2010-03-15,1696.1
2010-03-22,1745.0
2010-03-29,1789.8
2010-04-05,1731.6
2010-04-12,1665.2
2010-04-19,1708.5
2010-04-26,1740.8
2010-05-03,1772.7
2010-05-10,1661.8
2010-05-17,1673.8
2010-05-24,1718.8
2010-05-31,1762.5
2010-06-07,1686.4
2010-06-14,1674.2
2010-06-21,1735.5
2010-06-28,1804.9
2010-07-05,1738.2
2010-07-12,1666.7
2010-07-19,1692.9
2010-07-26,1753.1
2010-08-02,1781.1
2010-08-09,1690.7
2010-08-16,1701.4
2010-08-23,1749.3
2010-08-30,1807.3
2010-09-06,1720.9
2010-09-13,1685.2
2010-09-20,1728.4
2010-09-27,1795.9
2010-10-04,1788.2
2010-10-11,1716.0
2010-10-18,1737.1
