Date,Price
2022-03-30,1917.800
2022-03-29,1911.050
2022-03-28,1927.000
2022-03-25,1956.650
2022-03-24,1945.900
2022-03-23,1932.150
2022-03-22,1929.350
2022-03-21,1925.050
2022-03-18,1932.900
2022-03-17,1941.400
2022-03-16,1918.750
2022-03-15,1928.750
2022-03-14,1961.600
2022-03-11,1991.450
2022-03-10,1997.650
2022-03-09,2017.150
2022-03-08,2007.000
2022-03-07,1999.250
2022-03-04,1943.800
2022-03-03,1935.400
2022-03-02,1926.000
2022-03-01,1920.450
2022-02-28,1903.300
2022-02-25,1912.150
2022-02-24,1968.350
2022-02-23,1895.700
2022-02-22,1895.000
2022-02-21,1895.450
2022-02-18,1886.950
2022-02-17,1886.550
2022-02-16,1854.400
2022-02-15,1855.100
2022-02-14,1855.800
2022-02-11,1826.250
2022-02-10,1832.300
2022-02-09,1828.100
2022-02-08,1821.000
2022-02-07,1811.150
2022-02-04,1814.550
2022-02-03,1803.750
2022-02-02,1802.000
2022-02-01,1806.500
2022-01-31,1790.600
2022-01-28,1790.200
2022-01-27,1815.500
2022-01-26,1845.200
2022-01-25,1835.650
2022-01-24,1838.250
2022-01-21,1834.250
2022-01-20,1836.700
2022-01-19,1817.500
2022-01-18,1810.800
2022-01-17,1820.050
2022-01-14,1822.250
2022-01-13,1822.400
2022-01-12,1816.400
2022-01-11,1805.200
2022-01-10,1800.550
2022-01-07,1792.200
2022-01-06,1804.950
2022-01-05,1818.500
2022-01-04,1809.050
2021-12-31,1820.100
2021-12-30,1799.250
2021-12-29,1796.350
2021-12-24,1786.050
2021-12-23,1805.550
2021-12-22,1789.900
2021-12-21,1795.850
2021-12-20,1797.400
2021-12-17,1807.500
2021-12-16,1785.150
2021-12-15,1769.400
2021-12-14,1782.350
2021-12-13,1784.450
2021-12-10,1771.900
2021-12-09,1783.400
2021-12-08,1789.800
2021-12-07,1779.650
2021-12-06,1781.250
2021-12-03,1773.500
2021-12-02,1775.700
2021-12-01,1786.800
2021-11-30,1797.600
2021-11-29,1795.000
2021-11-26,1809.800
2021-11-25,1790.650
2021-11-24,1790.800
2021-11-23,1797.300
2021-11-22,1841.100
2021-11-19,1861.400
2021-11-18,1860.500
2021-11-17,1858.450
2021-11-16,1872.250
2021-11-15,1863.800
2021-11-12,1850.000
2021-11-11,1859.250
2021-11-10,1824.950
2021-11-09,1824.400
2021-11-08,1818.000
2021-11-05,1793.200
2021-11-04,1778.100
2021-11-03,1781.850
2021-11-02,1791.500
2021-11-01,1786.550
2021-10-29,1796.300
2021-10-28,1798.200
2021-10-27,1783.850
2021-10-26,1801.900
2021-10-25,1799.200
2021-10-22,1792.300
2021-10-21,1785.300
2021-10-20,1778.150
2021-10-19,1779.400
2021-10-18,1762.450
2021-10-15,1781.450
2021-10-14,1797.150
2021-10-13,1767.450
2021-10-12,1759.100
2021-10-11,1752.550
2021-10-08,1757.500
2021-10-07,1758.550
2021-10-06,1748.250
2021-10-05,1758.000
2021-10-04,1751.850
2021-10-01,1755.600
2021-09-30,1730.950
2021-09-29,1741.650
2021-09-28,1739.650
2021-09-27,1749.150
2021-09-24,1755.150
2021-09-23,1771.050
2021-09-22,1775.350
2021-09-21,1766.450
2021-09-20,1757.150
2021-09-17,1766.100
2021-09-16,1781.450
2021-09-15,1801.400
2021-09-14,1788.650
2021-09-13,1787.850
2021-09-10,1799.900
2021-09-09,1795.350
2021-09-08,1797.950
2021-09-07,1810.750
2021-09-06,1823.850
2021-09-03,1812.050
2021-09-02,1815.150
2021-09-01,1813.900
2021-08-31,1814.300
2021-08-27,1795.500
2021-08-26,1783.800
2021-08-25,1794.700
2021-08-24,1802.950
2021-08-23,1786.900
2021-08-20,1782.950
2021-08-19,1788.200
2021-08-18,1788.100
2021-08-17,1794.050
2021-08-16,1775.750
2021-08-13,1757.650
2021-08-12,1755.500
2021-08-11,1734.050
2021-08-10,1729.550
2021-08-09,1741.500
2021-08-06,1799.450
2021-08-05,1811.200
2021-08-04,1812.450
2021-08-03,1809.700
2021-08-02,1807.550
2021-07-30,1828.250
2021-07-29,1819.450
2021-07-28,1799.300
2021-07-27,1797.150
2021-07-26,1808.150
2021-07-23,1803.050
2021-07-22,1797.400
2021-07-21,1805.900
2021-07-20,1815.300
2021-07-19,1803.250
2021-07-16,1822.000
2021-07-15,1832.000
2021-07-14,1813.050
2021-07-13,1807.850
2021-07-12,1802.950
2021-07-09,1803.400
2021-07-08,1810.250
2021-07-07,1804.250
2021-07-06,1807.800
2021-07-05,1790.950
2021-07-02,1783.500
2021-07-01,1774.000
2021-06-30,1757.800
2021-06-29,1769.600
2021-06-28,1774.250
2021-06-25,1783.250
2021-06-24,1780.200
2021-06-23,1782.900
2021-06-22,1779.100
2021-06-21,1782.450
2021-06-18,1792.350
2021-06-17,1806.750
2021-06-16,1858.100
2021-06-15,1863.850
2021-06-14,1859.750
2021-06-11,1891.950
2021-06-10,1882.000
2021-06-09,1890.450
2021-06-08,1892.050
2021-06-07,1882.050
2021-06-04,1869.550
2021-06-03,1892.150
2021-06-02,1895.900
2021-06-01,1907.700
2021-05-28,1892.450
2021-05-27,1895.050
2021-05-26,1904.300
2021-05-25,1882.800
2021-05-24,1876.850
2021-05-21,1877.650
2021-05-20,1869.350
2021-05-19,1860.000
2021-05-18,1867.400
2021-05-17,1848.450
2021-05-14,1833.500
2021-05-13,1814.300
2021-05-12,1833.600
2021-05-11,1837.150
2021-05-10,1834.150
2021-05-07,1820.500
2021-05-06,1793.150
2021-05-05,1778.050
2021-05-04,1784.950
2021-04-30,1768.800
2021-04-29,1774.650
2021-04-28,1764.150
2021-04-27,1780.900
2021-04-26,1779.650
2021-04-23,1785.300
2021-04-22,1785.650
2021-04-21,1781.050
2021-04-20,1765.500
2021-04-19,1788.400
2021-04-16,1766.450
2021-04-15,1748.000
2021-04-14,1743.300
2021-04-13,1728.100
2021-04-12,1741.550
2021-04-09,1747.950
2021-04-08,1743.700
2021-04-07,1736.000
2021-04-06,1731.050
2021-04-01,1715.850
2021-03-31,1685.350
2021-03-30,1696.700
2021-03-29,1723.950
2021-03-26,1727.850
