Date,USDGBP
2006-11-01,0.5238
2006-11-02,0.5239
2006-11-03,0.5260
2006-11-06,0.5272
2006-11-07,0.5236
2006-11-08,0.5247
2006-11-09,0.5245
2006-11-10,0.5230
2006-11-13,0.5257
2006-11-14,0.5278
2006-11-15,0.5296
2006-11-16,0.5290
2006-11-17,0.5281
2006-11-20,0.5273
2006-11-21,0.5268
2006-11-22,0.5223
2006-11-23,0.5200
2006-11-24,0.5177
2006-11-27,0.5163
2006-11-28,0.5133
2006-11-29,0.5130
2006-11-30,0.5078
2006-12-01,0.5052
2006-12-04,0.5054
2006-12-05,0.5064
2006-12-06,0.5078
2006-12-07,0.5095
2006-12-08,0.5111
2006-12-11,0.5115
2006-12-12,0.5088
2006-12-13,0.5086
2006-12-14,0.5090
2006-12-15,0.5118
2006-12-18,0.5139
2006-12-19,0.5085
2006-12-20,0.5090
2006-12-21,0.5096
2006-12-22,0.5110
2006-12-25,0.5110
2006-12-26,0.5110
2006-12-27,0.5111
2006-12-28,0.5097
2006-12-29,0.5106
2007-01-01,0.5086
2007-01-02,0.5067
2007-01-03,0.5129
2007-01-04,0.5143
2007-01-05,0.5180
2007-01-08,0.5159
2007-01-09,0.5155
2007-01-10,0.5172
2007-01-11,0.5144
2007-01-12,0.5108
2007-01-15,0.5104
2007-01-16,0.5101
2007-01-17,0.5071
2007-01-18,0.5072
2007-01-19,0.5061
2007-01-22,0.5058
2007-01-23,0.5039
2007-01-24,0.5083
2007-01-25,0.5075
2007-01-26,0.5103
2007-01-29,0.5104
2007-01-30,0.5098
2007-01-31,0.5099
2007-02-01,0.5080
2007-02-02,0.5086
2007-02-05,0.5102
2007-02-06,0.5078
2007-02-07,0.5076
2007-02-08,0.5106
2007-02-09,0.5125
2007-02-12,0.5135
2007-02-13,0.5143
2007-02-14,0.5095
2007-02-15,0.5120
2007-02-16,0.5128
2007-02-19,0.5122
2007-02-20,0.5116
2007-02-21,0.5122
2007-02-22,0.5110
2007-02-23,0.5092
2007-02-26,0.5094
2007-02-27,0.5086
2007-02-28,0.5099
2007-03-01,0.5108
2007-03-02,0.5139
2007-03-05,0.5199
2007-03-06,0.5189
2007-03-07,0.5177
2007-03-08,0.5181
2007-03-09,0.5177
2007-03-12,0.5184
2007-03-13,0.5175
2007-03-14,0.5171
2007-03-15,0.5164
2007-03-16,0.5149
2007-03-19,0.5139
2007-03-20,0.5107
2007-03-21,0.5103
2007-03-22,0.5083
2007-03-23,0.5094
