Date,ReverseRepo,ReverseRepoRate
2022-03-31,1871.97,0.3
2022-03-30,1785.939,0.3
2022-03-29,1718.87,0.3
2022-03-28,1688.632,0.3
2022-03-25,1676.974,0.3
2022-03-24,1707.655,0.3
2022-03-23,1803.186,0.3
2022-03-22,1763.183,0.3
2022-03-21,1728.893,0.3
2022-03-18,1715.148,0.3
2022-03-17,1659.977,0.3
2022-03-16,1613.637,0.05
2022-03-15,1583.471,0.05
2022-03-14,1608.021,0.05
2022-03-11,1557.823,0.05
2022-03-10,1568.735,0.05
2022-03-09,1542.504,0.05
2022-03-08,1525.099,0.05
2022-03-07,1461.227,0.05
2022-03-04,1483.061,0.05
2022-03-03,1533.992,0.05
2022-03-02,1526.211,0.05
2022-03-01,1552.95,0.05
2022-02-28,1596.052,0.05
2022-02-25,1603.349,0.05
2022-02-24,1650.399,0.05
2022-02-23,1738.322,0.05
2022-02-22,1699.432,0.05
2022-02-18,1674.929,0.05
2022-02-17,1647.202,0.05
2022-02-16,1644.134,0.05
2022-02-15,1608.494,0.05
2022-02-14,1666.232,0.05
2022-02-11,1635.826,0.05
2022-02-10,1634.146,0.05
2022-02-09,1653.153,0.05
2022-02-08,1674.61,0.05
2022-02-07,1679.932,0.05
2022-02-04,1642.892,0.05
2022-02-03,1640.397,0.05
2022-02-02,1626.895,0.05
2022-02-01,1584.109,0.05
2022-01-31,1654.85,0.05
2022-01-28,1615.021,0.05
2022-01-27,1583.895,0.05
2022-01-26,1613.046,0.05
2022-01-25,1599.502,0.05
2022-01-24,1614.002,0.05
2022-01-21,1706.127,0.05
2022-01-20,1678.931,0.05
2022-01-19,1656.576,0.05
2022-01-18,1597.137,0.05
2022-01-14,1598.887,0.05
2022-01-13,1636.742,0.05
2022-01-12,1536.981,0.05
2022-01-11,1527.02,0.05
2022-01-10,1560.421,0.05
2022-01-07,1530.096,0.05
2022-01-06,1510.553,0.05
2022-01-05,1492.787,0.05
2022-01-04,1495.692,0.05
2022-01-03,1579.526,0.05
2021-12-31,1904.582,0.05
2021-12-30,1696.476,0.05
2021-12-29,1642.506,0.05
2021-12-28,1637.064,0.05
2021-12-27,1580.347,0.05
2021-12-23,1577.78,0.05
2021-12-22,1699.277,0.05
2021-12-21,1748.285,0.05
2021-12-20,1758.041,0.05
2021-12-17,1704.586,0.05
2021-12-16,1657.626,0.05
2021-12-15,1621.097,0.05
2021-12-14,1584.488,0.05
2021-12-13,1599.768,0.05
2021-12-10,1507.147,0.05
2021-12-09,1500.027,0.05
2021-12-08,1484.192,0.05
2021-12-07,1455.038,0.05
2021-12-06,1487.996,0.05
2021-12-03,1475.464,0.05
2021-12-02,1448.585,0.05
2021-12-01,1427.347,0.05
2021-11-30,1517.956,0.05
2021-11-29,1459.339,0.05
2021-11-26,1451.108,0.05
2021-11-24,1452.897,0.05
2021-11-23,1571.98,0.05
2021-11-22,1573.769,0.05
2021-11-19,1575.384,0.05
2021-11-18,1584.097,0.05
2021-11-17,1520,0.05
2021-11-16,1466.857,0.05
2021-11-15,1391.657,0.05
2021-11-12,1417.643,0.05
2021-11-10,1448.623,0.05
2021-11-09,1377.197,0.05
2021-11-08,1354.382,0.05
2021-11-05,1354.059,0.05
2021-11-04,1348.539,0.05
2021-11-03,1343.985,0.05
2021-11-02,1329.913,0.05
2021-11-01,1358.606,0.05
2021-10-29,1502.296,0.05
2021-10-28,1384.684,0.05
2021-10-27,1433.37,0.05
2021-10-26,1423.198,0.05
2021-10-25,1413.188,0.05
2021-10-22,1403.02,0.05
2021-10-21,1458.605,0.05
2021-10-20,1493.961,0.05
2021-10-19,1470.739,0.05
2021-10-18,1477.114,0.05
2021-10-15,1462.297,0.05
2021-10-14,1445.66,0.05
2021-10-13,1364.701,0.05
2021-10-12,1367.051,0.05
2021-10-08,1371.958,0.05
2021-10-07,1375.863,0.05
2021-10-06,1451.175,0.05
2021-10-05,1431.18,0.05
2021-10-04,1399.173,0.05
2021-10-01,1385.991,0.05
2021-09-30,1604.881,0.05
2021-09-29,1415.84,0.05
2021-09-28,1365.185,0.05
2021-09-27,1297.05,0.05
2021-09-24,1313.657,0.05
2021-09-23,1352.483,0.05
2021-09-22,1283.281,0.05
2021-09-21,1240.494,0.05
2021-09-20,1224.289,0.05
2021-09-17,1218.303,0.05
2021-09-16,1147.494,0.05
2021-09-15,1081.342,0.05
2021-09-14,1169.28,0.05
2021-09-13,1087.108,0.05
2021-09-10,1099.323,0.05
2021-09-09,1107.659,0.05
2021-09-08,1115.229,0.05
2021-09-07,1079.945,0.05
2021-09-03,1074.707,0.05
