Date,RPONTSYD
2006-11-01,6.076
2006-11-02,2.453
2006-11-06,10.750
2006-11-08,6.770
2006-11-09,7.781
2006-11-10,2.750
2006-11-13,5.750
2006-11-15,4.064
2006-11-16,3.000
2006-11-17,1.954
2006-11-20,3.750
2006-11-22,11.750
2006-11-24,6.500
2006-11-27,7.250
2006-11-28,7.500
2006-11-30,5.426
2006-12-01,5.806
2006-12-04,7.624
2006-12-06,8.477
2006-12-07,5.382
2006-12-08,2.338
2006-12-11,2.517
2006-12-12,1.320
2006-12-13,0.250
2006-12-15,0.073
2006-12-18,8.750
2006-12-20,2.888
2006-12-21,4.099
2006-12-26,1.757
2006-12-27,0.320
2007-01-02,7.250
2007-01-03,11.750
2007-01-04,10.388
2007-01-05,7.465
2007-01-08,3.708
2007-01-09,2.402
2007-01-10,2.265
2007-01-11,8.500
2007-01-12,1.539
2007-01-16,8.469
2007-01-17,0.325
2007-01-18,5.043
2007-01-19,2.000
2007-01-22,4.300
2007-01-23,2.527
2007-01-25,1.419
2007-01-26,2.549
2007-01-29,5.250
2007-01-30,1.286
2007-01-31,9.541
2007-02-01,3.747
2007-02-02,2.995
2007-02-05,2.103
2007-02-06,0.585
2007-02-07,1.454
2007-02-08,7.500
2007-02-09,5.363
2007-02-12,9.500
2007-02-14,1.925
2007-02-15,6.886
2007-02-20,7.750
2007-02-21,7.088
2007-02-22,6.730
2007-02-23,0.200
2007-02-26,9.500
2007-02-27,4.000
2007-02-28,0.200
2007-03-01,4.597
2007-03-02,4.234
2007-03-05,4.454
2007-03-06,2.980
2007-03-07,4.109
2007-03-08,7.140
2007-03-12,4.233
2007-03-14,10.320
2007-03-15,5.902
2007-03-16,2.391
2007-03-19,4.920
2007-03-20,5.598
2007-03-22,8.000
2007-03-23,5.798
2007-03-27,6.068
2007-03-28,4.891
2007-03-29,8.000
2007-03-30,1.825
2007-04-02,4.250
2007-04-03,9.500
2007-04-04,5.902
2007-04-09,10.000
2007-04-10,6.023
2007-04-11,5.416
2007-04-12,6.980
2007-04-13,4.921
2007-04-16,5.748
2007-04-17,8.250
2007-04-18,1.182
2007-04-19,4.232
2007-04-20,4.609
2007-04-23,7.742
2007-04-25,0.000
2007-04-30,1.980
2007-05-01,3.100
2007-05-03,6.406
2007-05-09,5.500
2007-05-15,0.000
2007-05-16,0.499
2007-05-17,2.144
2007-05-21,2.077
2007-05-23,4.749
2007-05-24,7.250
2007-05-29,9.769
2007-06-01,5.478
2007-06-04,3.195
2007-06-07,6.250
2007-06-08,3.124
2007-06-11,8.173
2007-06-12,5.260
2007-06-13,3.039
2007-06-14,5.182
2007-06-15,0.000
2007-06-18,0.300
2007-06-19,0.537
2007-06-20,0.750
2007-06-21,1.128
2007-06-22,0.200
2007-06-25,1.197
2007-06-26,8.078
2007-06-27,3.921
2007-06-28,1.156
2007-06-29,0.350
2007-07-03,9.000
2007-07-05,11.381
2007-07-06,6.805
2007-07-09,6.458
2007-07-10,4.144
2007-07-12,5.386
2007-07-13,0.069
2007-07-16,1.687
2007-07-18,3.606
2007-07-19,8.164
2007-07-20,1.100
2007-07-23,3.844
2007-07-24,5.791
2007-07-25,2.047
2007-07-26,7.000
2007-07-27,0.118
2007-07-30,4.724
2007-07-31,0.200
2007-08-01,3.239
2007-08-02,10.859
2007-08-03,5.470
2007-08-06,8.736
2007-08-07,1.126
2007-08-08,6.673
2007-08-09,4.100
2007-08-13,0.700
2007-08-15,0.000
2007-08-16,0.000
2007-08-17,0.000
2007-08-20,0.200
2007-08-21,0.000
2007-08-22,0.000
2007-08-23,3.250
2007-08-28,0.000
2007-08-29,0.200
2007-09-05,8.500
2007-09-06,5.981
2007-09-07,1.000
2007-09-10,2.070
2007-09-12,7.362
2007-09-13,5.000
2007-09-14,0.200
2007-09-17,10.786
2007-09-18,6.054
2007-09-19,8.670
2007-09-20,0.200
2007-09-21,2.859
2007-09-24,9.334
2007-09-26,0.000
2007-09-27,0.000
2007-09-28,0.000
2007-10-01,0.000
2007-10-02,0.000
2007-10-03,2.250
2007-10-09,2.115
2007-10-10,2.079
2007-10-11,0.200
2007-10-12,0.200
2007-10-15,0.118
2007-10-16,0.000
2007-10-17,0.000
2007-10-18,2.226
2007-10-19,0.200
2007-10-22,0.918
2007-10-24,6.500
2007-10-25,6.000
2007-10-26,7.500
2007-10-29,1.172
2007-10-30,0.000
2007-10-31,2.000
2007-11-01,7.160
2007-11-02,1.200
2007-11-05,0.273
2007-11-07,3.400
2007-11-08,0.000
2007-11-13,0.000
2007-11-14,0.000
2007-11-15,7.865
2007-11-16,4.500
2007-11-19,2.800
2007-11-20,0.799
2007-11-21,0.000
2007-11-23,2.750
2007-11-26,0.052
2007-11-27,8.300
2007-11-28,2.500
2007-11-29,4.750
2007-11-30,6.500
2007-12-03,8.750
2007-12-04,2.500
2007-12-06,5.350
2007-12-07,12.000
2007-12-10,8.070
2007-12-11,4.319
2007-12-12,0.600
2007-12-13,0.078
2007-12-17,7.500
2007-12-18,0.200
2007-12-19,3.189
